#ID;S1;S2;S3;S4
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_lydicus;29;18;19;39
n__root|n__cellular_organisms|d__Bacteria_2|p__Cyanobacteria|g__Gloeobacter|n__Gloeobacter_kilaueensis_JS1;28;16;7;24
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_fluorescens_group|s__Pseudomonas_fluorescens|n__Pseudomonas_fluorescens_WH6;28;14;12;27
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|n__Erwinia_tasmaniensis_Et1/99;28;37;18;67
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|s__Xylella_fastidiosa|n__Xylella_fastidiosa_PLS229;28;6;14;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae|g__Marinomonas|n__Marinomonas_mediterranea_MMB-1;28;10;7;22
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|s__Rhodopseudomonas_palustris|n__Rhodopseudomonas_palustris_BisA53;28;5;22;29
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|n__Rickettsieae|g__Rickettsia|n__spotted_fever_group|n__Rickettsia_felis_URRWXCal2;28;15;0;0
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_phytofirmans|n__Burkholderia_phytofirmans_OLGA172;28;13;22;46
n__root|n__cellular_organisms|d__Bacteria_2|o__Fusobacteriales|f__Leptotrichiaceae|n__Sebaldella_termitidis_ATCC_33386;28;15;13;24
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|n__Flavobacterium_branchiophilum_FL-15;28;5;11;12
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|n__unclassified_Flavobacterium;28;4;32;41
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|o__Cytophagales|f__Cytophagaceae|n__Cytophaga_hutchinsonii_ATCC_33406;28;9;10;20
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|o__Cytophagales|f__Cytophagaceae|n__Leadbetterella_byssophila_DSM_17132;28;8;27;44
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|g__Corynebacterium|n__Corynebacterium_sphenisci_DSM_44792;28;8;19;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|g__Nakamurella|n__Nakamurella_multipartita_DSM_44233;28;16;9;79
n__root|n__cellular_organisms|d__Bacteria_2|p__Planctomycetes;28;15;47;39
n__root|n__cellular_organisms|d__Bacteria_2|p__Cyanobacteria|o__Nostocales|f__Nostocaceae;28;21;28;31
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|f__Erysipelotrichaceae;28;6;26;17
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_asplenii;28;11;9;33
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lurida;28;10;34;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_calida;28;14;14;29
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_nimipressuralis;28;19;13;19
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|f__Vibrionaceae|g__Vibrio|s__Vibrio_anguillarum;28;17;48;126
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Methylocella|s__Methylocella_tundrae;28;13;21;38
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|n__Rhizobium/Agrobacterium_group|g__Agrobacterium|s__Agrobacterium_larrymoorei;28;24;14;33
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_baderi;28;9;18;39
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter_marensis;28;26;28;63
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii;28;16;35;101
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Myxococcales|n__Sorangiineae|s__Labilithrix_luteola;28;14;13;31
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_lautus;28;12;12;20
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp._BNL1100;28;11;19;30
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|s__[Clostridium]_hiranonis;28;1;3;9
n__root|n__cellular_organisms|d__Bacteria_2|c__Thermotogae_188708|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_islandicum;28;14;8;12
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_sp._JS623;28;13;35;54
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_celeriflavum;28;16;18;14
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_sediminis;28;17;20;15
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_ruber;28;15;11;41
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia_sp._AL041005-10;28;24;21;76
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_antimycoticus;28;13;15;15
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|g__Listeria|s__Listeria_ivanovii|n__Listeria_ivanovii_subsp._londoniensis;28;28;22;100
n__root|n__cellular_organisms|d__Bacteria_2|p__Cyanobacteria|o__Nostocales|g__Calothrix|n__Calothrix_sp._PCC_6303;27;28;21;57
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|n__Shewanella_woodyi_ATCC_51908;27;12;3;5
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|f__Vibrionaceae|g__Photobacterium|n__Photobacterium_profundum_SS9;27;18;20;40
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|n__Gluconacetobacter_diazotrophicus_PA1_5;27;12;19;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus_265|n__Paracoccus_aminophilus_JCM_7686;27;14;11;22
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Myxococcales|n__Cystobacterineae|g__Anaeromyxobacter|s__Anaeromyxobacter_dehalogenans|n__Anaeromyxobacter_dehalogenans_2CP-1;27;33;17;51
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Sulfurimonas|n__Sulfurimonas_gotlandica_GD1;27;3;17;11
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus_1372|n__Planococcus_antarcticus_DSM_14505;27;12;17;12
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|n__Mageeibacillus_indolicus_UPII9-5;27;6;19;11
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|f__Chlorobiaceae|g__Chlorobaculum|n__Chlorobaculum_parvum_NCIB_8327;27;13;31;76
n__root|n__cellular_organisms|d__Bacteria_2|n__Fibrobacter_succinogenes_subsp._succinogenes_S85;27;5;13;21
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|g__Corynebacterium|n__Corynebacterium_resistens_DSM_45100;27;6;3;4
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia|s__Nocardia_brasiliensis|n__Nocardia_brasiliensis_ATCC_700358;27;29;19;60
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_mazei|n__Methanosarcina_mazei_LYC;27;11;18;23
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Coriobacteriia|o__Coriobacteriales;27;12;12;19
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae;27;3;42;58
n__root|n__cellular_organisms|d__Bacteria_2|p__Tenericutes|c__Mollicutes|f__Mycoplasmataceae;27;11;53;81
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas;27;21;69;228
n__root|n__cellular_organisms|d__Bacteria_2|p__Cyanobacteria|n__Oscillatoriophycideae|o__Chroococcales|g__Synechococcus|s__Synechococcus_sp._PROS-7-1;27;33;18;85
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_fluorescens_group|s__Pseudomonas_extremorientalis;27;17;14;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._S35;27;9;15;18
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|s__Buchnera_aphidicola;27;9;26;39
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Dickeya|s__Dickeya_chrysanthemi;27;12;11;22
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_cucurbitae;27;16;9;39
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._CCBAU_53338;27;44;20;69
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|n__Rhizobium/Agrobacterium_group|g__Rhizobium|s__Rhizobium_sp._ACO-34A;27;13;62;209
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus_265|s__Paracoccus_pantotrophus;27;23;21;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_paucimobilis;27;19;16;28
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter_seohaensis;27;16;11;38
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_sp._1_2014MBL_MicDiv;27;11;16;34
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia_flava;27;20;12;43
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_caribensis;27;17;21;62
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_acidiphobus;27;13;8;14
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Myxococcales|n__Sorangiineae|s__Sandaracinus_amylolyticus;27;24;27;39
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_lari;27;9;10;5
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_christensenii;27;19;7;24
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae;27;10;21;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptoniphilaceae|s__Parvimonas_micra;27;4;12;18
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris;27;13;32;50
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum;27;28;22;76
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus_sp._NSG39;27;20;35;142
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_glomeroaurantiacus;27;32;19;77
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Streptosporangiales|f__Thermomonosporaceae|g__Actinomadura|s__Actinomadura_verrucosospora;27;18;28;55
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_pneumophila|n__Legionella_pneumophila_subsp._pascullei;27;18;13;23
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|n__Shewanella_oneidensis_MR-1;26;10;12;15
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_loti|n__Mesorhizobium_loti_R88b;26;31;8;16
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|n__Novosphingobium_pentaromativorans_US6-1;26;12;5;8
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii|n__Ralstonia_pickettii_12D;26;15;10;15
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|g__Bdellovibrio|s__Bdellovibrio_bacteriovorus|n__Bdellovibrio_bacteriovorus_str._Tiberius;26;26;25;87
n__root|n__cellular_organisms|d__Bacteria_2|c__Deinococci|f__Thermaceae|n__Oceanithermus_profundus_DSM_14977;26;14;18;32
n__root|n__cellular_organisms|d__Bacteria_2|c__Deinococci|n__Truepera_radiovictrix_DSM_17093;26;10;29;96
n__root|n__cellular_organisms|d__Bacteria_2|p__Verrucomicrobia|o__Verrucomicrobiales|f__Verrucomicrobiaceae|n__Verrucomicrobium_spinosum_DSM_4136_=_JCM_18804;26;12;36;108
n__root|n__cellular_organisms|d__Bacteria_2|n__Caldisericum_exile_AZM16c01;26;9;8;13
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Streptomycetaceae|g__Streptomyces|n__Streptomyces_davawensis_JCM_4913;26;30;15;59
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius;26;10;9;27
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina;26;10;12;23
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae|s__Piscirickettsia_salmonis;26;11;11;29
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_fluorescens_group|s__Pseudomonas_tolaasii;26;14;22;46
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_rustigianii;26;4;5;5
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Xenorhabdus|s__Xenorhabdus_doucetiae;26;16;8;26
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Kosakonia|s__Kosakonia_sp._JM-387;26;28;11;57
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_sp._P2G1;26;8;15;24
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Haematobacter_massiliensis;26;35;32;94
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|s__Oxalobacter_formigenes;26;14;7;13
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_campinensis;26;22;19;57
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|f__Methylophilaceae|s__Methylophilaceae_bacterium_MMS-2-53;26;24;22;70
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Arcobacter|s__Arcobacter_butzleri;26;1;15;9
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus_1386|s__Bacillus_sp._X1(2014);26;9;8;15
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp._FSL_R7-0273;26;9;16;31
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|s__[Clostridium]_thermosuccinogenes;26;15;30;46
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_crystallopoietes;26;10;25;41
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|s__Tropheryma_whipplei;26;11;13;9
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_psychrotolerans;26;5;19;21
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_aubagnense;26;11;9;25
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii;26;5;18;13
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_syringae_group|s__Pseudomonas_syringae|n__Pseudomonas_syringae_pv._syringae;25;4;11;9
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_moraviensis|n__Pseudomonas_moraviensis_R28-S;25;13;11;15
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia|n__Serratia_multitudinisentens_RB-25;25;10;16;80
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Cronobacter|n__Cronobacter_condimenti_1330;25;14;13;59
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae|g__Marinomonas|n__Marinomonas_posidonica_IVIA-Po-181;25;10;14;27
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|n__Hoeflea_phototrophica_DFL-43;25;24;18;32
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Labrenzia|n__Labrenzia_alexandrii_DFL-11;25;14;13;30
n__root|n__cellular_organisms|d__Bacteria_2|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|n__Thermodesulfobacterium_geofontis_OPF15;25;10;12;16
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|g__Corynebacterium|s__Corynebacterium_jeikeium|n__Corynebacterium_jeikeium_K411;25;4;5;6
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|g__Corynebacterium|n__Corynebacterium_maris_DSM_45190;25;3;25;20
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia|n__Nocardia_nova_SH22a;25;15;32;122
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|f__Micromonosporaceae|g__Actinoplanes|n__Actinoplanes_friuliensis_DSM_7358;25;8;31;116
n__root|n__cellular_organisms|d__Bacteria_2|p__Chloroflexi;25;4;9;17
n__root|n__cellular_organisms|d__Bacteria_2|p__Tenericutes;25;1;8;12
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Halobacteria|f__Natrialbaceae;25;22;18;40
n__root|n__cellular_organisms|d__Bacteria_2|p__Cyanobacteria|g__Prochlorococcus;25;9;8;4
n__root|n__cellular_organisms|d__Bacteria_2|p__Cyanobacteria|n__Oscillatoriophycideae|o__Chroococcales|g__Thermosynechococcus;25;7;12;23
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Collimonas;25;18;24;119
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca;25;12;22;33
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|s__Ewingella_americana;25;13;20;40
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Aquicella|s__Aquicella_lusitana;25;16;7;17
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_vesicatoria;25;9;14;17
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_shioyasakiensis;25;11;5;5
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_psychrophila;25;21;18;44
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|g__Bartonella|s__Bartonella_elizabethae;25;21;11;43
