#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_sp._APG3;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_trematum;0;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;15;6
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_frisingense;0;4;1;1;3;1;0;2;0;0;1;2;0;0;0;0;0;2;0;2;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia_sp._6NM-7;1;0;0;0;1;0;0;1;0;0;1;2;0;1;0;0;0;0;1;1;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Collimonas|s__Collimonas_arenae;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_ebreus;2;1;5;3;1;0;0;0;0;0;2;2;3;2;0;1;0;0;1;0;1;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Rhodoferax|s__Rhodoferax_saidenbachensis;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_sp._PBC;1;0;0;0;1;0;0;0;0;0;1;2;1;0;1;1;0;0;0;1;2;14
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Schlegelella|s__Schlegelella_thermodepolymerans;2;3;5;0;2;4;0;0;0;1;3;2;2;2;1;0;0;2;2;1;1;9
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_latens;0;3;3;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_diffusa;1;3;4;3;0;0;0;0;1;1;1;2;2;2;0;0;0;0;1;2;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_caledonica;1;0;1;3;1;2;1;1;0;0;0;2;0;0;1;2;1;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._THE68;0;2;0;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pseudosolanacearum;0;1;2;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pauculus;0;3;3;1;0;0;0;0;0;0;2;2;5;3;0;0;0;0;1;1;5;1
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_campinensis;1;1;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pinatubonensis;1;2;1;1;0;0;0;0;0;1;0;2;6;2;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_bacilliformis;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_shayeganii;0;4;2;3;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0
d__Bacteria_2|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_exovorus;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus_1386|s__Bacillus_methanolicus;1;3;7;0;0;0;0;0;0;1;0;2;1;5;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_toebii;0;2;3;0;0;0;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_thermosphaericus;0;0;3;0;1;1;1;0;12;15;1;2;15;1;0;0;1;0;16;24;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planomicrobium|s__Planomicrobium_glaciei;0;11;0;8;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;3;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans;1;1;8;0;2;2;2;1;2;1;0;2;24;0;1;1;0;2;0;0;2;2
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae;1;2;5;0;0;1;0;0;6;1;0;2;19;0;0;0;0;2;2;6;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri;0;0;0;4;0;0;0;0;1;1;1;2;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._HSISS2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_curvatus;10;1;4;10;1;1;0;0;15;1;10;2;4;0;0;0;0;0;8;4;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca|s__Jeotgalibaca_dankookensis;0;0;0;0;0;1;0;0;1014;1212;0;2;2;0;1;4;3;0;1086;1327;0;2
d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium|s__Halanaerobium_praevalens;1;0;1;0;772;523;359;359;0;1;2;2;0;3;803;649;273;648;0;0;0;16
d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Alkaliphilus|s__Alkaliphilus_metalliredigens;0;0;1;1;12;24;12;7;2397;2908;0;2;1;0;15;31;4;9;2448;3197;0;0
d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor|s__Filifactor_alocis;0;0;1;0;0;0;0;0;0;0;1;2;4;1;0;0;0;0;1;0;0;0
d__Bacteria_2|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei;0;0;1;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0
d__Bacteria_2|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_212;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Opitutus|s__Opitutus_terrae;0;1;1;0;0;1;2;1;1;0;1;2;0;1;0;0;0;2;1;0;0;0
d__Bacteria_2|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_suis;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_sp._Sr18;0;1;1;0;5;6;2;0;0;0;1;2;0;0;4;1;0;1;2;0;0;0
d__Bacteria_2|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron;0;0;0;0;7;4;6;5;0;0;0;2;0;0;8;5;3;5;1;0;0;0
d__Bacteria_2|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis;2;8;5;4;1;0;0;0;1;1;6;2;13;0;1;0;0;0;1;1;0;0
d__Bacteria_2|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris;0;0;2;0;0;0;3;0;0;3;2;2;1;1;0;0;0;1;1;2;0;0
d__Bacteria_2|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Hymenobacter|s__Hymenobacter_sp._PAMC26628;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Gemmatimonadetes_142182|c__Gemmatimonadetes_219685|s__Gemmatimonadetes_bacterium_KBS708;1;0;2;0;0;1;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter|s__Sphaerobacter_thermophilus;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_meyeri;0;0;3;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|g__Candidatus_Planktophila|s__Candidatus_Planktophila_limnetica;0;3;1;0;1;0;0;0;1;1;1;2;1;2;0;1;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Micrococcaceae|g__Renibacterium|s__Renibacterium_salmoninarum;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;142;60
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens;0;8;1;0;0;0;0;0;0;2;2;2;6;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Intrasporangiaceae|g__Ornithinimicrobium|s__Ornithinimicrobium_sp._CPCC_203535;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_shinshuensis;5;2;4;7;0;0;0;1;4;1;1;2;9;0;2;2;1;2;3;5;548;845
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_stationis;0;1;0;1;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_flavescens;4;13;5;2;0;0;1;0;0;0;2;2;1;3;0;0;0;0;0;1;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_ulcerans;0;4;1;11;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei;1;1;1;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glaucum;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;1;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp._136/3;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp._ATCC_6931;12;6;17;16;0;0;3;0;1;4;6;2;8;6;0;0;0;1;1;3;1;97
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_xenopi;0;0;1;1;0;0;0;0;0;0;0;2;5;0;0;0;0;0;2;4;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_aichiense;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_gallinarum;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_mageritense;0;3;1;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;10;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_colombiense;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_lacus;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_fluoranthenivorans;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_insubricum;0;0;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_litorale;2;1;2;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;15;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_paragordonae;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;92
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus_sp._NSG39;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;1;0;0;1;0;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Rubrobacteria|o__Rubrobacterales|s__Rubrobacterineae_bacterium_BR7-21;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0
d__Bacteria_2|p__Actinobacteria_201174|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae|g__Conexibacter|s__Conexibacter_woesei;0;2;1;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Myoviridae|s__Thermus_phage_TMA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|s__Streptococcus_phage_PH10;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|s__Staphylococcus_phage_StB20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|s__Leuconostoc_phage_phiLNTR3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|s__Staphylococcus_phage_IME-SA4;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|g__Yualikevirus|s__Pseudomonas_phage_YuA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|g__Sfi1unalikevirus|s__Streptococcus_phage_Alq132;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Siphoviridae|g__Skunalikevirus|s__Lactococcus_phage_SL4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
d__Viruses|o__Caudovirales|f__Podoviridae|g__T7likevirus|s__Enterobacteria_phage_T7;0;0;1;0;0;1;2;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0
d__Bacteria_2|p__Cyanobacteria|o__Oscillatoriales|g__Oscillatoria|s__Oscillatoria_nigro-viridis;0;3;3;12;0;0;20;0;0;0;0;1;13;12;0;0;3;0;4;1;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Francisellaceae|g__Francisella|s__Francisella_sp._LA112445;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_venetianus;1;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;2;2;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_gyllenbergii;0;3;2;0;0;0;0;0;0;2;1;1;6;3;0;0;0;0;0;1;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_agarici;3;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._K-62;0;1;0;3;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_vancouverensis;4;2;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._B10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_citronellolis;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi;0;7;2;3;1;0;0;0;0;1;2;1;0;0;0;1;1;1;0;0;1;1
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_corrugata;1;1;0;0;1;1;0;2;0;0;0;1;1;0;0;0;0;0;0;0;3;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_extremorientalis;5;5;0;2;0;1;0;0;0;0;10;1;0;0;0;0;0;0;0;0;11;2
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_coronafaciens;0;8;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;2;232;582
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_asturiensis;4;1;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_graminis;0;0;0;0;0;1;0;2;12;0;0;1;0;0;0;0;0;3;6;1;0;1
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_pohangensis;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_reinekei;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._CMR5c;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._R5-89-07;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._ATCC_43928;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._R2-37-08W;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._URMO17WK12:I11;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;29
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._WM-3;2;1;0;0;1;2;2;0;0;0;2;1;0;1;4;0;0;0;0;0;1;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._DR_5-09;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._MRSN12121;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|s__Pseudomonadaceae_bacterium_HW001;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_albertii;2;2;4;1;1;2;0;0;1;5;2;1;6;3;1;0;1;0;0;8;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_sp._HT073016;0;2;3;3;0;0;0;0;1;7;0;1;2;4;0;0;0;0;3;1;0;1
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia|s__Serratia_plymuthica;2;0;0;4;1;1;2;0;2;0;0;1;0;1;0;0;0;0;1;11;4549;678
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yersinia_629|s__Yersinia_intermedia;1;2;0;1;0;1;1;0;1;1;2;1;1;1;3;3;0;2;1;0;59;61
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yersinia_629|s__Yersinia_frederiksenii;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_terrigena;0;0;0;0;3;1;0;1;1;0;0;1;0;0;2;1;1;4;0;0;27;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_amnigena;0;2;0;0;3;6;3;5;7;4;0;1;0;0;4;5;0;1;1;11;0;1
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|s__Thiobacillus_prosperus;0;0;0;1;236;390;330;357;2;9;0;1;0;0;175;260;0;256;5;5;0;2
