#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_tsuruhatensis;399;821;628;401;99;58;59;47;224;222;875;877;492;291;85;57;1;85;239;298;376;2083
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris;396;811;626;386;6;2;1;3;176;196;685;827;584;396;4;1;1;1;259;194;536;1227
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_lata;384;807;653;453;1;0;1;1;146;93;509;823;587;424;0;2;0;1;190;180;0;1
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cenocepacia;295;764;528;433;3;0;1;0;125;99;437;750;507;329;2;1;0;1;158;113;2;56
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii;39;634;16;67;2;0;1;0;47;25;39;736;13;52;0;0;0;2;132;17;165;831
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus;99;710;592;626;9;0;5;0;128;136;227;655;1016;524;1;1;5;0;238;230;73;77
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_avidum;203;803;578;231;3;7;66;9;315;91;307;563;600;282;2;5;8;4;378;120;2;56
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._CCBAU_51753;225;521;385;255;4;0;0;0;106;63;284;538;347;275;1;0;0;2;135;110;4586;1262
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Hydrogenophilus|s__Hydrogenophilus_thermoluteolus;159;436;1162;174;103;137;63;81;216;71;213;477;1148;155;95;117;16;78;276;117;65;1
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis;129;317;368;228;5;8;544;5;18;10;169;459;210;212;1;4;49;2;33;37;1;52
